Nation,Product Id,Product Name,Category,Subcategory,Season,CUSTOMER_NATIONALITYIDS,Catalog,Color,Fabric,Fit,In Store,Origin,Sum of PRICE,Sum of PriceTot
Germany,77944080, Two Tone Cuff Bracelet,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Sterling Silver,"","",true,Made in USA,€ 539.20,€ 1888.00
Germany,70092553, Rain Poncho,Accessories,Rain Gear,Basic Non-Seasonal,3,Clothing & Accessories,White,"","",true,Imported,€ 28.15,€ 92.19
Germany,81454675, Titans Big Island Flip-Flop Sandals,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,White,"",Misc.,true,Made in USA,€ 125.52,€ 440.64
Germany,86984071,White/Black  Titans Tote Bag,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,White/Black,"","",true,Imported,€ 6.90,€ 16.89
Germany,78214682, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,White/Maroon,88% Cotton/8% Elastic/4% Spandex,"",true,Imported,€ 37.62,€ 164.16
Germany,52937620,Yellow  Tote Bag,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,Yellow,"","",true,Imported,€ 68.82,€ 237.98
Germany,78465063, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Yellow,52% Poly/46% Cotton/2% Spandex,"",true,Imported,€ 26.82,€ 80.46
Germany,77861695, 2 Charm Bracelet,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Yellow Gold,"","",true,Made in USA,€ 455.67,€ 1299.78
Germany,77861699, Cuff Bracelet,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Yellow Gold,"","",true,Made in USA,€ 322.79,€ 1064.70
Germany,78643364, Titans Adjustable Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",false,Imported,€ 11.10,€ 22.20
Germany,77690039, Youth Adjustable MVP Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 155.88,€ 483.12
Germany,76936559, Infant Short Sleeve T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Infant,true,Imported,€ 104.32,€ 240.64
Germany,83053807, Infant Short Sleeve T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Infant,true,Imported,€ 35.84,€ 101.44
Germany,83054012," Titans """"My First Tee"""" Infant T-Shirt",Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Infant,true,Imported,€ 32.32,€ 85.44
Germany,78788615, Infant Short Sleeve T-Shirt,Kids,Infant & Toddler,Spring,3,Clothing & Accessories,"",100% Cotton,Infant,true,Imported,€ 76.72,€ 243.85
Germany,74437958, Titans Youth Flat Bill Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Misc.,true,Imported,€ 39.38,€ 118.14
Germany,79096963, Titans Toddler Girl's Short Sleeve T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 24.28,€ 97.12
Germany,83054493, Titans Toddler T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 60.12,€ 127.62
Germany,78621321, Toddler Hooded Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 53.48,€ 145.08
Germany,84068550, Toddler Short Sleeve T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 47.00,€ 81.80
Germany,86190248, Toddler Short Sleeve T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 97.44,€ 279.84
Germany,77576575, Toddler 3/4 Sleeve Raglan Shirt,Kids,Infant & Toddler,Fall,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 11.67,€ 11.67
Germany,94025464, Toddler Boys' Short Sleeve T-Shirt,Kids,Infant & Toddler,Spring,3,Clothing & Accessories,"",100% Cotton,Toddler,true,Imported,€ 177.32,€ 561.00
Germany,70680210, Youth Long Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,false,Imported,€ 74.48,€ 208.32
Germany,85747030, Soccer Long Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 67.86,€ 198.18
Germany,91790395, Softball Youth T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 12.96,€ 12.96
Germany,91790385, Titans Baseball Youth T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 112.32,€ 501.12
Germany,91790386, Titans Football Youth T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 94.32,€ 221.76
Germany,91790387, Titans Soccer Youth T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 69.84,€ 307.26
Germany,94007840, Titans Youth Girls' Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 153.78,€ 564.74
Germany,97166385, Titans Youth Long Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 114.40,€ 331.24
Germany,51192248, Titans Youth Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 59.40,€ 246.60
Germany,83050963, Titans Youth Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 51.30,€ 147.78
Germany,78853147, Youth Brother Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 108.00,€ 265.50
Germany,83094955, Youth Emoji Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 87.84,€ 276.66
Germany,72606533, Youth Football T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 65.70,€ 198.00
Germany,99659630, Youth Long Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 102.52,€ 373.34
Germany,82463483, Youth Sister Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 47.52,€ 189.00
Germany,83050062, Youth T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 38.16,€ 65.16
Germany,89239574, Youth Amplifier Short Sleeve T-Shirt,Kids,Youth,Fall,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 73.30,€ 254.68
Germany,98574990, Youth Amplifier Short Sleeve T-Shirt,Kids,Youth,Spring,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 54.80,€ 70.20
Germany,94025519, Youth Girls' Raglan Shirt,Kids,Youth,Spring,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 131.82,€ 369.46
Germany,91442000, Youth Girls' Short Sleeve T-Shirt,Kids,Youth,Spring,3,Clothing & Accessories,"",100% Cotton,Youth,true,Imported,€ 85.36,€ 293.04
Germany,76163735, Flip Hat,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Polyester,"",true,Imported,€ 107.82,€ 293.76
Germany,97738618, Kids Bucket Hat,Kids,Youth,Spring,3,Clothing & Accessories,"",100% Polyester,"",true,Imported,€ 19.80,€ 19.80
Germany,76157897, Kid's Hat,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Polyester,Misc.,true,Imported,€ 15.34,€ 76.70
Germany,90137236, Titans Toddler Boys' Hooded Sweatshirt,Kids,Infant & Toddler,Holiday,3,Clothing & Accessories,"",100% Polyester,Toddler,true,Imported,€ 189.44,€ 606.08
Germany,83051728, Titans Youth Mesh Shorts,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Polyester,Youth,true,Imported,€ 125.76,€ 331.52
Germany,76956516, Titans Youth Pack 'N Go Jacket,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Polyester,Youth,true,Imported,€ 116.28,€ 554.42
Germany,64923741, #85 Youth Replica Jersey,Kids,Youth,Fall,3,Clothing & Accessories,"",100% Polyester,Youth,true,Imported,€ 185.90,€ 407.00
Germany,39523972, Youth Amplifier Short Sleeve T-Shirt,Kids,Youth,Fall,3,Clothing & Accessories,"",100% Polyester,Youth,true,Imported,€ 27.00,€ 108.00
Germany,74259574, Titans Toddler Tri-Blend T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",50% Cotton/38% Poly/12% Rayon,Toddler,true,Imported,€ 127.80,€ 455.20
Germany,76933824, Titans Youth Hooded Sweatshirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",50% Cotton/50% Polyester,Youth,true,Imported,€ 39.10,€ 78.20
Germany,83930930, Girls' Emoji Short Sleeve T-Shirt,Kids,Youth,Fall,3,Clothing & Accessories,"",50% Cotton/50% Polyester,Youth,true,Imported,€ 45.57,€ 128.55
Germany,83929626, Youth Girls' Emoji Short Sleeve T-Shirt,Kids,Youth,Fall,3,Clothing & Accessories,"",50% Cotton/50% Polyester,Youth,true,Imported,€ 51.27,€ 113.50
Germany,94025770, Toddler Girls' Tie-Dye Ruffle Short Sleeve T-Shirt,Kids,Infant & Toddler,Spring,3,Clothing & Accessories,"",51% Cotton/49% Polyester,Toddler,true,Imported,€ 90.72,€ 286.56
Germany,20082021, Girls' Burnout Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",51% Cotton/49% Polyester,Youth,true,Imported,€ 48.00,€ 160.80
Germany,94026055, Girls' Tie-Dye Short Sleeve T-Shirt,Kids,Youth,Spring,3,Clothing & Accessories,"",51% Cotton/49% Polyester,Youth,true,Imported,€ 118.32,€ 436.08
Germany,85674972, Titans Todder Boys' Striped Short Sleeve T-Shirt,Kids,Infant & Toddler,Fall,3,Clothing & Accessories,"",52% Cotton/48% Polyester,Toddler,true,Imported,€ 64.28,€ 295.99
Germany,97726316, Titans Toddler Boys' Short Sleeve T-Shirt,Kids,Infant & Toddler,Spring,3,Clothing & Accessories,"",52% Cotton/48% Polyester,Toddler,true,Imported,€ 59.94,€ 261.90
Germany,97726364, Toddler Girls' Short Sleeve T-Shirt,Kids,Infant & Toddler,Spring,3,Clothing & Accessories,"",52% Cotton/48% Polyester,Toddler,true,Imported,€ 64.60,€ 191.00
Germany,39253827, Toddler Boys' Short Sleeve T-Shirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",55% Cotton/25% Poly/20% Viscose,Toddler,true,Imported,€ 152.02,€ 432.30
Germany,84699877, Boys' Short Sleeve T-Shirt,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,"",55% Cotton/25% Poly/20% Viscose,Youth,true,Imported,€ 58.56,€ 167.04
Germany,83931688, Boys' Tri-Blend Short Sleeve T-Shirt,Kids,Youth,Fall,3,Clothing & Accessories,"",55% Cotton/25% Poly/20% Viscose,Youth,true,Imported,€ 109.86,€ 258.10
Germany,78107948, Infant Full Zip Hooded Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",60% Cotton/40% Polyester,"",true,"",€ 107.72,€ 250.68
Germany,78460834, Toddler Long Sleeve T-Shirt Pajama Pant Set,Kids,Infant & Toddler,Holiday,3,Clothing & Accessories,"",60% Cotton/40% Polyester,"",true,Imported,€ 153.34,€ 465.08
Germany,94024709, Toddler Boys' Short Sleeve T-Shirt,Kids,Infant & Toddler,Spring,3,Clothing & Accessories,"",60% Cotton/40% Polyester,Toddler,true,Imported,€ 82.00,€ 270.80
Germany,83933741, Youth Girls' Raglan T-Shirt,Kids,Youth,Fall,3,Clothing & Accessories,"",60% Cotton/40% Polyester,Youth,true,Imported,€ 69.13,€ 145.86
Germany,94025376, Boys' Short Sleeve T-Shirt,Kids,Youth,Spring,3,Clothing & Accessories,"",60% Cotton/40% Polyester,Youth,true,Imported,€ 60.06,€ 120.12
Germany,94025280, Youth Boys' Short Sleeve T-Shirt,Kids,Youth,Spring,3,Clothing & Accessories,"",60% Cotton/40% Polyester,Youth,true,Imported,€ 45.24,€ 158.34
Germany,78297740, Toddler Hooded Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",80% Cotton/20% Polyester,"",true,Imported,€ 129.74,€ 484.44
Germany,83053630, Infant Crew Neck Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",80% Cotton/20% Polyester,Infant,true,Imported,€ 71.50,€ 114.25
Germany,76239986, Titans Infant Full Zip Hooded Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",80% Cotton/20% Polyester,Infant,true,Imported,€ 52.20,€ 91.80
Germany,83054375, Titans Toddler Full Zip Hooded Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",80% Cotton/20% Polyester,Toddler,true,Imported,€ 25.20,€ 126.00
Germany,83054848, Toddler Hooded Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",80% Cotton/20% Polyester,Toddler,true,Imported,€ 210.30,€ 627.60
Germany,83053808, Toddler Crew Neck Sweatshirt,Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,"",80% Cotton/20% Polyester,Toddler,true,Made in USA,€ 42.25,€ 99.25
Germany,78214741, Titans Youth Adjustable Hat,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,Black,100% Cotton,"",true,Imported,€ 145.00,€ 469.20
Germany,88828010, Youth Trucker Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,Black,100% Cotton,"",true,Imported,€ 46.80,€ 148.32
Germany,81454407, Titans Youth Trucker Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,Burgundy,100% Cotton,"",true,Imported,€ 12.96,€ 25.92
Germany,81454357, Toddlers' Twill Hat,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,Gold,100% Cotton,"",true,Imported,€ 25.00,€ 88.00
Germany,68446286," 7"""" Atlas Plush",Kids,Infant & Toddler,Basic Non-Seasonal,3,Clothing & Accessories,Maroon,"","",true,Imported,€ 31.32,€ 156.60
Germany,74437954, Youth Flat Bill Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,Maroon,100% Cotton,Misc.,true,Imported,€ 65.78,€ 148.94
Germany,77261994, Youth Snapback Cap,Kids,Youth,Basic Non-Seasonal,3,Clothing & Accessories,Maroon,100% Polyester,"",true,Imported,€ 44.24,€ 102.48
Germany,77796699, Bucket Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"","","",true,Imported,€ 70.98,€ 264.42
Germany,69579166, Sunglasses,Men,Accessories,Basic Non-Seasonal,3,Clothing & Accessories,"","",Misc.,false,Imported,€ 47.74,€ 164.78
Germany,69579168, Sunglasses,Men,Accessories,Basic Non-Seasonal,3,Clothing & Accessories,"","",Misc.,true,Imported,€ 84.48,€ 334.40
Germany,77788125, Adjustable Cap,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 119.08,€ 330.98
Germany,78040358, Adjustable Visor,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 118.36,€ 417.56
Germany,77940169, Alumni Adjustable Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 92.04,€ 214.50
Germany,77966335, Baseball Adjustable Relaxed Twill Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 132.86,€ 217.62
Germany,78056373, Basketball Adjustable Relaxed Twill Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 150.02,€ 455.26
Germany,57450654, Cap,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 109.78,€ 401.94
Germany,77940167, Dad Adjustable Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 78.52,€ 254.80
Germany,77940165, Football Relaxed Twill Adjustable Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 96.98,€ 287.56
Germany,78035793, Hockey Relaxed Twill Adjustable Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 143.78,€ 417.82
Germany,78619749, Mom Relaxed Twill Adjustable Hat,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 20.02,€ 20.02
Germany,77262106, School of Global Management Cap,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 41.40,€ 121.80
Germany,88784549, Titans Adjustable Cap,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 62.20,€ 154.60
Germany,77931805, Titans Patch Trucker Cap,Men,Hats,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 52.78,€ 152.36
